,year,rank,player,team,points,percentages
112,1992,3rd,Dennis Bergkamp,Ajax,53.0,22.94
113,1993,1st,Roberto Baggio,Juventus,142.0,54.83
114,1993,2nd,Dennis Bergkamp,Internazionale,83.0,32.05
115,1993,3rd,Eric Cantona,Manchester United,34.0,13.13
116,1994,1st,Hristo Stoichkov,Barcelona,210.0,46.15
117,1994,2nd,Roberto Baggio,Juventus,136.0,29.89
118,1994,3rd,Paolo Maldini,Milan,109.0,23.96
119,1995,1st,George Weah ,Milan,144.0,45.14
120,1995,2nd,Jürgen Klinsmann,Bayern Munich,108.0,33.86
121,1995,3rd,Jari Litmanen,Ajax,67.0,21.0
122,1996,1st,Matthias Sammer,Borussia Dortmund,144.0,36.55
123,1996,2nd,Ronaldo,Barcelona,143.0,36.29
124,1996,3rd,Alan Shearer,Newcastle United,107.0,27.16
125,1997,1st,Ronaldo ,Internazionale,222.0,62.89
126,1997,2nd,Predrag Mijatović,Real Madrid,68.0,19.26
127,1997,3rd,Zinedine Zidane,Juventus,63.0,17.85
128,1998,1st,Zinedine Zidane,Juventus,244.0,64.55
129,1998,2nd,Davor Šuker,Real Madrid,68.0,17.99
130,1998,3rd,Ronaldo,Internazionale,66.0,17.46
131,1999,1st,Rivaldo,Barcelona,219.0,50.11
132,1999,2nd,David Beckham,Manchester United,154.0,35.24
133,1999,3rd,Andriy Shevchenko,Milan,64.0,14.65
134,2000,1st,Luís Figo,Real Madrid,197.0,42.55
135,2000,2nd,Zinedine Zidane,Juventus,181.0,39.09
136,2000,3rd,Andriy Shevchenko,Milan,85.0,18.36
137,2001,1st,Michael Owen,Liverpool,176.0,40.93
138,2001,2nd,Raúl,Real Madrid,140.0,32.56
139,2001,3rd,Oliver Kahn,Bayern Munich,114.0,26.51
140,2002,1st,Ronaldo ,Real Madrid,169.0,39.86
141,2002,2nd,Roberto Carlos,Real Madrid,145.0,34.2
142,2002,3rd,Oliver Kahn,Bayern Munich,110.0,25.94
143,2003,1st,Pavel Nedvěd,Juventus,190.0,43.08
144,2003,2nd,Thierry Henry,Arsenal,128.0,29.02
145,2003,3rd,Paolo Maldini,Milan,123.0,27.89
146,2004,1st,Andriy Shevchenko,Milan,175.0,39.15
147,2004,2nd,Deco,Barcelona,139.0,31.1
148,2004,3rd,Ronaldinho,Barcelona,133.0,29.75
149,2005,1st,Ronaldinho,Barcelona,225.0,43.69
150,2005,2nd,Frank Lampard,Chelsea,148.0,28.74
151,2005,3rd,Steven Gerrard,Liverpool,142.0,27.57
152,2006,1st,Fabio Cannavaro ,Real Madrid,173.0,41.39
153,2006,2nd,Gianluigi Buffon,Juventus,124.0,29.67
154,2006,3rd,Thierry Henry,Arsenal,121.0,28.95
155,2007,1st,Kaká,Milan,444.0,45.49
156,2007,2nd,Cristiano Ronaldo,Manchester United,277.0,28.38
157,2007,3rd,Lionel Messi,Barcelona,255.0,26.13
158,2008,1st,Cristiano Ronaldo,Manchester United,446.0,49.23
159,2008,2nd,Lionel Messi,Barcelona,281.0,31.02
160,2008,3rd,Fernando Torres,Liverpool,179.0,19.76
161,2009,1st,Lionel Messi,Barcelona,473.0,54.0
162,2009,2nd,Cristiano Ronaldo,Real Madrid,233.0,26.6
163,2009,3rd,Xavi,Barcelona,170.0,19.41
164,2010,1st,Lionel Messi,Barcelona,,22.65
165,2010,2nd,Andrés Iniesta,Barcelona,,17.36
166,2010,3rd,Xavi,Barcelona,,16.48
167,2011,1st,Lionel Messi,Barcelona,,47.88
168,2011,2nd,Cristiano Ronaldo,Real Madrid,,21.60
169,2011,3rd,Xavi,Barcelona,,9.23
170,2012,1st,Lionel Messi,Barcelona,,41.60
171,2012,2nd,Cristiano Ronaldo,Real Madrid,,23.68
172,2012,3rd,Andrés Iniesta,Barcelona,,10.91
173,2013,1st,Cristiano Ronaldo,Real Madrid,,27.99
174,2013,2nd,Lionel Messi,Barcelona,,24.72
175,2013,3rd,Franck Ribéry,Bayern Munich,,23.36
176,2014,1st,Cristiano Ronaldo,Real Madrid,,37.66
177,2014,2nd,Lionel Messi,Barcelona,,15.76
178,2014,3rd,Manuel Neuer,Bayern Munich,,15.72
179,2015,1st,Lionel Messi,Barcelona,,41.33
180,2015,2nd,Cristiano Ronaldo,Real Madrid,,27.76
181,2015,3rd,Neymar,Barcelona,,7.86
182,2016,1st,Cristiano Ronaldo,Real Madrid,745.0,59.17
183,2016,2nd,Lionel Messi,Barcelona,316.0,25.1
184,2016,3rd,Antoine Griezmann,Atlético Madrid,198.0,15.73
185,2017,1st,Cristiano Ronaldo,Real Madrid,946.0,47.85
186,2017,2nd,Lionel Messi,Barcelona,670.0,33.89
187,2017,3rd,Neymar,Paris Saint-Germain,361.0,18.26
188,2018,1st,Luka Modrić,Real Madrid,753.0,45.83
189,2018,2nd,Cristiano Ronaldo,Juventus,476.0,28.97
190,2018,3rd,Antoine Griezmann,Atlético Madrid,414.0,25.2
191,2019,1st,Lionel Messi,Barcelona,686.0,37.26
192,2019,2nd,Virgil van Dijk,Liverpool,679.0,36.88
193,2019,3rd,Cristiano Ronaldo,Juventus,476.0,25.86
194,2021,1st,Lionel Messi,Paris Saint-Germain,613.0,22.54
195,2021,2nd,Robert Lewandowski,Bayern Munich,580.0,21.32
196,2021,3rd,Jorginho,Chelsea,460.0,16.91
197,2022,1st,Karim Benzema,Real Madrid,549.0,
198,2022,2nd,Sadio Mane,Liverpool,193.0,
199,3rd,Kevin de Bruyne,Manchester City,175.0,
